timestamp,http_code,latency_seconds
1788017666.109914000,200,0.011248
1788017666.347042000,200,0.000732
1788017666.577341000,200,0.001139
1788017666.811541000,200,0.000729
1788017667.037087000,200,0.000526
1788017667.264193000,200,0.000944
1788017667.498815000,200,0.000714
1788017667.731625000,200,0.000883
1788017667.964053000,200,0.000604
1788017668.195770000,200,0.000625
1788017668.422837000,200,0.000750
1788017668.656371000,200,0.000754
1788017668.890718000,200,0.001046
1788017669.124519000,200,0.000675
1788017669.356059000,200,0.000762
1788017669.591578000,200,0.000696
1788017669.820773000,200,0.000732
1788017670.051458000,200,0.000674
1788017670.282871000,200,0.000810
1788017670.512779000,200,0.000600
1788017670.742271000,200,0.000647
1788017670.977765000,200,0.000942
1788017671.211096000,200,0.000817
1788017671.447270000,200,0.000624
1788017671.679373000,200,0.000706
1788017671.913706000,200,0.000871
1788017672.142664000,200,0.000625
1788017672.371473000,200,0.000618
1788017672.603607000,200,0.000639
1788017672.835084000,200,0.000579
1788017673.069142000,200,0.000691
1788017673.303105000,200,0.000691
1788017673.533490000,200,0.000638
1788017673.764113000,200,0.000812
1788017673.999669000,200,0.000672
1788017674.234206000,200,0.000589
1788017674.464533000,200,0.000595
1788017674.696852000,200,0.000639
1788017674.931063000,200,0.000653
1788017675.163331000,200,0.000655
1788017675.394100000,200,0.000569
1788017675.626303000,200,0.000705
1788017675.859069000,200,0.000761
1788017676.091581000,200,0.000612
1788017676.324463000,200,0.000564
1788017676.556376000,200,0.000713
1788017676.787013000,200,0.001044
1788017677.013212000,200,0.000936
1788017677.243108000,200,0.000934
1788017677.470952000,200,0.000613
1788017677.703478000,200,0.000663
1788017677.935471000,200,0.000647
1788017678.167098000,200,0.000633
1788017678.400919000,200,0.000609
1788017678.631948000,200,0.000795
1788017678.863223000,200,0.000654
1788017679.095835000,200,0.000785
1788017679.328052000,200,0.000578
1788017679.558326000,200,0.000627
1788017679.790656000,200,0.000601
1788017680.022074000,200,0.000904
1788017680.254590000,200,0.009579
1788017680.496066000,200,0.000747
1788017680.727622000,200,0.000579
1788017680.959892000,200,0.002899
1788017681.195140000,200,0.000763
1788017681.430245000,200,0.000734
1788017681.663381000,200,0.000735
1788017681.894285000,200,0.000630
1788017682.120327000,200,0.000654
1788017682.354578000,200,0.001249
1788017682.609565000,200,0.000695
1788017682.843919000,200,0.000634
1788017683.073755000,200,0.000594
1788017683.305091000,200,0.001585
1788017683.537171000,200,0.000807
1788017683.769187000,200,0.000554
1788017684.000369000,200,0.000736
1788017684.235531000,200,0.000564
1788017684.469481000,200,0.000929
1788017684.700573000,200,0.000672
1788017684.935035000,200,0.000753
1788017685.167924000,200,0.000721
1788017685.401350000,200,0.000639
1788017685.634958000,200,0.000773
1788017685.868730000,200,0.000614
1788017686.101326000,200,0.000682
1788017686.332936000,200,0.000748
1788017686.564608000,200,0.000868
1788017686.797648000,200,0.000719
1788017687.027523000,200,0.000890
1788017687.258601000,200,0.000848
1788017687.487864000,200,0.000759
1788017687.723392000,200,0.000710
1788017687.955097000,200,0.000820
1788017688.183314000,200,0.000699
1788017688.417302000,200,0.000615
1788017688.646861000,200,0.000704
1788017688.880538000,200,0.001013
1788017689.114291000,200,0.000805
1788017689.347713000,200,0.000612
1788017689.581523000,200,0.000666
1788017689.813072000,200,0.000814
1788017690.047352000,200,0.000677
1788017690.283686000,200,0.000843
1788017690.519316000,200,0.000913
1788017690.751626000,200,0.001128
1788017690.987570000,200,0.000664
1788017691.220139000,200,0.000674
1788017691.455168000,200,0.000600
1788017691.688863000,200,0.000703
1788017691.919528000,200,0.000726
1788017692.150342000,200,0.000922
1788017692.377562000,200,0.000884
1788017692.609015000,200,0.000501
1788017692.839654000,200,0.000873
1788017693.069279000,200,0.001109
