timestamp,http_code,latency_seconds
1788005807.603960000,200,0.001784
1788005807.834751000,200,0.001603
1788005808.066220000,200,0.003952
1788005808.319603000,200,0.001513
1788005808.545832000,200,0.001977
1788005808.782963000,200,0.003062
1788005809.027957000,200,0.001236
1788005809.268253000,200,0.002481
1788005809.519302000,200,0.003461
1788005809.771834000,200,0.002146
1788005810.024070000,200,0.002278
1788005810.276038000,200,0.002179
1788005810.531192000,200,0.002377
1788005810.780444000,200,0.003063
1788005811.031744000,200,0.002847
1788005811.285491000,200,0.002735
1788005811.540458000,200,0.002851
1788005811.794326000,200,0.002040
1788005812.048231000,200,0.001952
1788005812.300114000,200,0.002162
1788005812.556336000,200,0.002376
1788005812.804577000,200,0.002753
1788005813.057687000,200,0.002296
1788005813.301298000,200,0.001880
1788005813.533661000,200,0.002513
1788005813.771787000,200,0.001838
1788005814.013701000,200,0.002418
1788005814.261641000,200,0.002105
1788005814.511824000,200,0.002829
1788005814.761008000,200,0.002706
1788005815.013692000,200,0.003243
1788005815.262261000,200,0.002074
1788005815.513559000,200,0.002581
1788005815.769725000,200,0.003057
1788005816.024128000,200,0.003045
1788005816.276119000,200,0.002463
1788005816.530908000,200,0.003162
1788005816.785278000,200,0.002933
1788005817.032289000,200,0.002207
1788005817.279993000,200,0.002380
1788005817.529323000,200,0.002983
1788005817.774941000,200,0.002421
1788005818.024594000,200,0.003183
1788005818.267833000,200,0.001767
1788005818.495117000,200,0.001949
1788005818.730720000,200,0.002761
1788005818.976211000,200,0.003591
1788005819.225676000,200,0.001486
1788005819.467020000,200,0.002297
1788005819.713920000,200,0.002882
1788005819.963829000,200,0.001938
1788005820.195408000,200,0.001517
1788005820.423445000,200,0.002676
1788005820.674484000,200,0.001787
1788005820.923814000,200,0.002289
1788005821.176656000,200,0.002639
1788005821.426186000,200,0.002651
1788005821.680187000,200,0.002513
1788005821.931582000,200,0.003412
1788005822.185260000,200,0.003639
1788005822.440893000,200,0.001975
1788005822.687943000,200,0.002072
1788005822.924634000,200,0.001954
1788005823.174492000,200,0.002259
1788005823.419948000,200,0.001337
1788005823.653088000,200,0.001722
1788005823.900377000,200,0.001887
1788005824.151747000,200,0.003198
1788005824.406805000,200,0.002203
1788005824.656451000,200,0.002017
1788005824.899160000,200,0.002706
1788005825.136074000,200,0.002601
1788005825.369965000,200,0.003041
1788005825.607279000,200,0.001789
1788005825.855492000,200,0.003114
1788005826.108923000,200,0.001669
1788005826.355062000,200,0.002368
1788005826.609741000,200,0.001937
1788005826.857908000,200,0.001909
1788005827.103908000,200,0.002487
1788005827.360322000,200,0.003024
1788005827.618749000,200,0.002873
1788005827.870603000,200,0.002113
1788005828.121540000,200,0.002248
1788005828.364889000,200,0.001354
1788005828.591737000,200,0.002197
1788005828.830685000,200,0.001582
1788005829.072971000,200,0.001307
1788005829.315604000,200,0.001771
1788005829.558062000,200,0.002732
1788005829.804332000,200,0.001613
1788005830.042542000,200,0.001926
1788005830.289579000,200,0.001493
1788005830.531426000,200,0.001914
1788005830.773427000,200,0.001376
1788005831.015889000,200,0.006226
1788005831.262539000,200,0.001395
1788005831.502265000,200,0.002275
1788005831.737129000,200,0.003191
1788005831.976166000,200,0.002368
1788005832.217946000,200,0.002329
1788005832.464357000,200,0.002057
1788005832.711672000,200,0.001771
1788005832.960297000,200,0.002928
1788005833.207871000,200,0.001408
1788005833.449125000,200,0.002249
1788005833.683829000,200,0.001775
1788005833.933517000,200,0.003030
1788005834.183360000,200,0.002925
1788005834.427213000,200,0.001710
1788005834.659799000,200,0.002335
1788005834.890732000,200,0.000967
1788005835.120756000,200,0.001526
1788005835.346923000,200,0.001090
1788005835.585269000,200,0.002412
1788005835.832800000,200,0.003025
1788005836.084411000,200,0.002205
1788005836.327040000,200,0.002139
1788005836.575871000,200,0.002293
1788005836.824703000,200,0.001881
1788005837.074595000,200,0.002134
1788005837.325935000,200,0.001856
1788005837.571523000,200,0.002861
1788005837.812827000,200,0.001711
1788005838.038405000,200,0.003120
1788005838.270518000,200,0.001643
1788005838.499201000,200,0.001649
1788005838.738566000,200,0.002789
1788005838.990461000,200,0.002131
1788005839.243368000,200,0.003025
1788005839.498625000,200,0.002263
1788005839.755197000,200,0.002313
1788005840.009987000,200,0.001951
1788005840.260475000,200,0.002038
1788005840.512408000,200,0.002264
1788005840.766954000,200,0.002894
1788005841.019074000,200,0.002624
1788005841.271267000,200,0.002341
1788005841.519665000,200,0.002224
1788005841.771026000,200,0.002537
1788005842.024860000,200,0.002111
1788005842.264280000,200,0.002082
1788005842.510177000,200,0.001721
1788005842.749556000,200,0.003076
1788005843.006864000,200,0.002076
1788005843.257041000,200,0.001611
1788005843.486558000,200,0.001518
1788005843.727579000,200,0.002294
1788005843.973624000,200,0.003090
1788005844.225050000,200,0.001641
1788005844.471569000,200,0.003448
1788005844.720147000,200,0.002176
1788005844.963024000,200,0.002880
1788005845.205621000,200,0.003349
1788005845.459166000,200,0.003021
1788005845.706062000,200,0.002576
1788005845.959582000,200,0.003416
1788005846.211668000,200,0.002302
1788005846.465479000,200,0.001366
1788005846.712730000,200,0.002337
1788005846.960258000,200,0.002079
1788005847.207619000,200,0.001497
1788005847.453137000,200,0.003099
1788005847.700737000,200,0.002163
1788005847.943216000,200,0.002989
1788005848.194701000,200,0.003107
1788005848.439814000,200,0.001490
1788005848.670940000,200,0.002018
1788005848.915178000,200,0.003548
1788005849.160582000,200,0.001493
1788005849.394894000,200,0.001769
1788005849.644527000,200,0.002845
1788005849.895401000,200,0.003534
1788005850.154084000,200,0.003528
1788005850.408558000,200,0.002187
1788005850.662128000,200,0.002390
1788005850.912267000,200,0.002009
1788005851.156643000,200,0.002085
1788005851.410751000,200,0.002261
1788005851.660988000,200,0.003091
1788005851.916190000,200,0.002595
1788005852.171790000,200,0.002613
