timestamp,http_code,latency_seconds
1788005630.923360000,200,0.002089
1788005631.164006000,200,0.002275
1788005631.411707000,200,0.002870
1788005631.663446000,200,0.002622
1788005631.915893000,200,0.002150
1788005632.170867000,200,0.002092
1788005632.420817000,200,0.002326
1788005632.671519000,200,0.002724
1788005632.922614000,200,0.003362
1788005633.184154000,200,0.002429
1788005633.438277000,200,0.002885
1788005633.690107000,200,0.002263
1788005633.946549000,200,0.002318
1788005634.201152000,200,0.002881
1788005634.449095000,200,0.002523
1788005634.701139000,200,0.002295
1788005634.947287000,200,0.002867
1788005635.187040000,200,0.003122
1788005635.436924000,200,0.002290
1788005635.679484000,200,0.001525
1788005635.912145000,200,0.001963
1788005636.147317000,200,0.001856
1788005636.396366000,200,0.001841
1788005636.646675000,200,0.002717
1788005636.901863000,200,0.002556
1788005637.152148000,200,0.003162
1788005637.403590000,200,0.002303
1788005637.645332000,200,0.001910
1788005637.883953000,200,0.002481
1788005638.136334000,200,0.002361
1788005638.388395000,200,0.001773
1788005638.638546000,200,0.002140
1788005638.892957000,200,0.003053
1788005639.142635000,200,0.002335
1788005639.399925000,200,0.002395
1788005639.654609000,200,0.003277
1788005639.906984000,200,0.003267
1788005640.155331000,200,0.001515
1788005640.390561000,200,0.002241
1788005640.634641000,200,0.003073
1788005640.878338000,200,0.002395
1788005641.114976000,200,0.002205
1788005641.364418000,200,0.002261
1788005641.617148000,200,0.002365
1788005641.870922000,200,0.001950
1788005642.121117000,200,0.002312
1788005642.373419000,200,0.004029
1788005642.620377000,200,0.001577
1788005642.861524000,200,0.001637
1788005643.113612000,200,0.003397
1788005643.369723000,200,0.002652
1788005643.616296000,200,0.003562
1788005643.867738000,200,0.002855
1788005644.124752000,200,0.002612
1788005644.379374000,200,0.003042
1788005644.633252000,200,0.002819
1788005644.884649000,200,0.002193
1788005645.130559000,200,0.002906
1788005645.384149000,200,0.002520
1788005645.634037000,200,0.002397
1788005645.878512000,200,0.001482
1788005646.110685000,200,0.002607
1788005646.357018000,200,0.001735
1788005646.604578000,200,0.003624
1788005646.856851000,200,0.002439
1788005647.090396000,200,0.001929
1788005647.338110000,200,0.002186
1788005647.588136000,200,0.002413
1788005647.837934000,200,0.002932
1788005648.092377000,200,0.002621
1788005648.348742000,200,0.003339
1788005648.605376000,200,0.002308
1788005648.856226000,200,0.003150
1788005649.109817000,200,0.001398
1788005649.353610000,200,0.002769
1788005649.605629000,200,0.001886
1788005649.856034000,200,0.002492
1788005650.111955000,200,0.002793
1788005650.364714000,200,0.002384
1788005650.615069000,200,0.002123
1788005650.858778000,200,0.001222
1788005651.090391000,200,0.001860
1788005651.334367000,200,0.001774
1788005651.575847000,200,0.002052
1788005651.824897000,200,0.002598
1788005652.071028000,200,0.002228
1788005652.322834000,200,0.002746
1788005652.580501000,200,0.002923
1788005652.835470000,200,0.002208
1788005653.079425000,200,0.001741
1788005653.313973000,200,0.002243
1788005653.556963000,200,0.001537
1788005653.794098000,200,0.002206
1788005654.047084000,200,0.001937
1788005654.294928000,200,0.002502
1788005654.548656000,200,0.001807
1788005654.796279000,200,0.002785
1788005655.046802000,200,0.003207
1788005655.300193000,200,0.002571
1788005655.554402000,200,0.001800
1788005655.796769000,200,0.001517
1788005656.028550000,200,0.002047
1788005656.270266000,200,0.001815
1788005656.519671000,200,0.001923
1788005656.768800000,200,0.001899
1788005657.017827000,200,0.002415
1788005657.265551000,200,0.001908
1788005657.512905000,200,0.002142
1788005657.756817000,200,0.001780
1788005658.003341000,200,0.001842
1788005658.251500000,200,0.001890
1788005658.500138000,200,0.002407
1788005658.747609000,200,0.001859
1788005658.993190000,200,0.000977
1788005659.236818000,200,0.001802
1788005659.482137000,200,0.001799
1788005659.729461000,200,0.001766
1788005659.969322000,200,0.002609
1788005660.213872000,200,0.001288
1788005660.453153000,200,0.002685
1788005660.689194000,200,0.001749
1788005660.917674000,200,0.001663
1788005661.145992000,200,0.001967
1788005661.394423000,200,0.002026
1788005661.642191000,200,0.001781
1788005661.883636000,200,0.001228
1788005662.115968000,200,0.001635
1788005662.355983000,200,0.001656
1788005662.597562000,200,0.002469
1788005662.839472000,200,0.002320
1788005663.082207000,200,0.002316
1788005663.326476000,200,0.002078
1788005663.564455000,200,0.001978
1788005663.813133000,200,0.001722
1788005664.059805000,200,0.001935
1788005664.303591000,200,0.001737
1788005664.550726000,200,0.001921
1788005664.799225000,200,0.002528
1788005665.044603000,200,0.002677
1788005665.288776000,200,0.002288
1788005665.533728000,200,0.002864
1788005665.777111000,200,0.001433
1788005666.003853000,200,0.001866
1788005666.239271000,200,0.001848
1788005666.491261000,200,0.003192
1788005666.746808000,200,0.002672
1788005666.994229000,200,0.002819
1788005667.247521000,200,0.002712
1788005667.495360000,200,0.002768
1788005667.746842000,200,0.003281
1788005667.998473000,200,0.001577
1788005668.245887000,200,0.002970
1788005668.494543000,200,0.003275
1788005668.744099000,200,0.003076
1788005668.998255000,200,0.002813
1788005669.235229000,200,0.002055
